time,open,high,low,close,volume
2018-09-12,6274.6,6350.0,6192.89,6322.45,4282.15960066
2018-09-13,6326.83,6537.46,6324.37,6485.7,6985.34747474
2018-09-14,6482.95,6587.0,6384.36,6476.51,4598.02098322
2018-09-15,6476.51,6570.1,6466.74,6520.15,1328.81956289
2018-09-16,6521.49,6524.84,6349.47,6499.98,1098.62806031
2018-09-17,6499.28,6530.24,6200.0,6254.52,4386.88772482
2018-09-18,6251.49,6390.0,6226.63,6332.34,4196.47314808
2018-09-19,6330.0,6510.0,6100.0,6388.4,7232.08338006
2018-09-20,6388.4,6535.11,6333.63,6492.98,5177.64510387
2018-09-21,6492.98,6775.34,6483.83,6749.45,8569.98587321
2018-09-22,6748.85,6826.28,6624.79,6710.01,5491.80951385
2018-09-23,6710.01,6774.91,6659.0,6702.22,3248.80491931
2018-09-24,6703.37,6721.68,6550.96,6581.52,4030.72562001
2018-09-25,6578.7,6579.59,6324.96,6428.99,8206.61700477
2018-09-26,6428.09,6540.0,6379.44,6461.51,4295.92674134
2018-09-26,6428.09,6540.0,6379.44,6461.51,4295.92674134
2018-09-27,6454.32,6736.85,6431.95,6681.62,5664.85211251
2018-09-28,6684.5,6792.28,6525.67,6610.76,7642.04936428
2018-09-29,6609.02,6609.02,6454.0,6579.38,3382.01592212
2018-09-30,6574.29,6628.06,6510.0,6597.81,2482.69507513
2018-10-01,6597.79,6638.15,6477.57,6571.2,4796.040132
2018-10-02,6569.32,6597.0,6447.28,6500.0,4116.13342419
2018-10-03,6500.0,6510.0,6396.34,6456.77,4774.76328174
2018-10-04,6454.81,6604.89,6450.58,6547.56,3832.70048916
2018-10-05,6548.83,6641.35,6510.0,6582.12,3807.26928181
2018-10-06,6582.11,6595.69,6526.28,6544.08,2022.78075908
2018-10-07,6547.93,6600.0,6493.92,6577.63,2455.65659087
2018-10-08,6574.15,6656.63,6541.06,6604.75,4079.04424933
2018-10-09,6604.76,6623.14,6553.13,6588.8,2254.95026959
2018-10-10,6588.72,6589.79,6387.91,6517.55,5177.06675956
2018-10-11,6517.55,6520.43,6055.28,6152.76,9616.23958351
2018-10-12,6152.76,6243.79,6109.79,6185.15,3246.3815572
2018-10-13,6182.03,6219.77,6168.83,6199.69,1954.04680593
2018-10-14,6201.23,6349.47,6143.08,6183.0,2525.73820085
2018-10-15,6185.04,6756.0,6149.28,6441.74,16895.88930388
2018-10-16,6438.2,6493.77,6386.4,6461.2,4703.09390629
2018-10-17,6457.67,6465.39,6407.69,6437.29,2961.26337446
2018-10-18,6440.07,6490.0,6350.0,6396.18,3823.16928503
2018-10-19,6394.23,6412.4,6355.99,6383.46,2290.0590117
2018-10-20,6380.47,6424.16,6363.02,6412.86,1261.97849549
2018-10-21,6412.86,6470.0,6401.01,6413.38,1541.01151749
2018-10-22,6412.62,6429.23,6372.53,6406.06,2407.5354618
2018-10-23,6409.39,6421.58,6354.26,6393.41,2851.00556658
2018-10-24,6396.24,6473.0,6393.0,6411.96,3535.33808825
2018-10-25,6411.96,6422.73,6361.73,6393.53,3046.60380599
2018-10-26,6393.38,6450.3,6377.81,6406.1,3323.82631782
2018-10-27,6406.1,6420.01,6381.25,6407.66,890.1271569
2018-10-28,6407.66,6420.0,6383.0,6405.57,839.29766473
2018-10-29,6404.27,6420.0,6208.37,6266.52,5190.82201499
2018-10-30,6266.47,6289.0,6240.0,6269.46,2523.57742936
2018-10-31,6269.45,6350.0,6199.25,6303.27,5148.08262352
2018-11-01,6304.5,6365.33,6288.01,6340.99,2190.97047686
2018-11-02,6343.85,6381.25,6328.33,6350.43,2678.06948097
2018-11-03,6350.05,6351.74,6312.48,6335.0,1084.13861953
2018-11-04,6333.59,6475.0,6310.57,6421.76,2673.81391399
2018-11-05,6428.23,6441.43,6369.89,6403.2,2335.48865475
2018-11-06,6404.97,6460.01,6378.24,6447.5,4270.33460011
2018-11-07,6448.17,6544.0,6442.47,6501.0,4800.82491273
2018-11-08,6501.0,6511.27,6388.88,6405.49,3966.97303181
2018-11-09,6405.49,6418.18,6307.0,6325.0,3218.12902607
2018-11-10,6325.0,6377.26,6323.0,6349.32,1523.39384996
2018-11-11,6349.39,6365.0,6269.46,6357.54,1718.26855567
2018-11-12,6352.57,6388.21,6298.5,6318.0,3526.03903239
2018-11-13,6318.01,6328.36,6244.35,6260.91,3630.56272124
2018-11-14,6255.86,6298.47,5324.0,5595.91,25121.93301356
2018-11-15,5592.23,5641.0,5199.8,5585.0,19945.90828161
2018-11-16,5571.12,5610.0,5411.74,5508.71,8074.6055758
2018-11-17,5514.62,5550.66,5452.63,5503.36,2732.79162871
2018-11-18,5503.36,5658.47,5500.0,5559.26,2576.4553201
2018-11-19,5553.01,5559.69,4694.44,4735.44,28910.66553331
2018-11-20,4732.92,4897.36,4048.58,4352.0,39775.38943928
2018-11-21,4349.41,4635.0,4242.33,4538.01,20678.25000596
2018-11-22,4551.47,4589.53,4194.98,4275.23,10258.46172893
2018-11-23,4268.4,4364.46,4061.02,4288.26,13322.77736822
2018-11-24,4288.25,4376.88,3638.48,3785.65,14236.74417437
2018-11-25,3780.67,4120.0,3474.73,3938.89,26969.94763424
2018-11-26,3934.22,4069.59,3522.28,3727.34,24357.88293934
2018-11-27,3727.34,3834.35,3548.76,3771.01,16814.00296565
2018-11-28,3771.01,4355.08,3771.0,4220.16,22983.71348838
2018-11-29,4219.77,4409.77,4086.97,4249.8,15944.01262628
